ord,statn,state,county,demv00,repv00,totv00,demsh00,repsh00,demv16,repv16,totv16,demsh16,repsh16,demv20,repv20,totv20,demsh20,repsh20,rep2sh00,rep2sh16,rep2sh20,tot2pty00,tot2pty16,tot2pty20
37,1,ALABAMA,JACKSON,9066,8475,17906,50.6310733832235%,47.3305037417625%,3673,16672,20984,17.503812428517%,79.451010293557%,3717,19670,23636,15.7260111694026%,83.2205110847859%,0.483153754061912,0.819464241828459,0.841065549236756,17541,20345,23387
38,1,ALABAMA,JEFFERSON,129889,138491,273763,47.4457833965876%,50.5879172861197%,156873,134768,304191,51.5705592867639%,44.3037433717631%,181688,138843,325848,55.7585131717856%,42.6097444207115%,0.516025784335644,0.462102379295092,0.433165590847687,268380,291641,320531
39,1,ALABAMA,LAMAR,2653,4470,7249,36.5981514691682%,61.663677748655%,1036,5823,6966,14.8722365776629%,83.5917312661499%,978,6174,7193,13.5965522035312%,85.8334491867093%,0.627544573915485,0.848957573990378,0.863255033557047,7123,6859,7152
40,1,ALABAMA,LAUDERDALE,13875,17478,32137,43.1745340262003%,54.3859103214364%,9952,27899,39525,25.1790006325111%,70.5857052498419%,11915,31721,44339,26.8725050181556%,71.541983355511%,0.557458616400344,0.737074317719479,0.726945641213677,31353,37851,43636
41,1,ALABAMA,LAWRENCE,6296,5671,12185,51.6700861715224%,46.540828887977%,3627,10833,14829,24.4588306696338%,73.0528019421404%,3562,12322,16031,22.2194498159815%,76.8635768199114%,0.473886521266817,0.749170124481328,0.775749181566356,11967,14460,15884
42,1,ALABAMA,LEE,14574,22433,38264,38.0880200710851%,58.6269077984529%,21230,34617,59191,35.8669392306263%,58.4835532428917%,27860,42221,71449,38.992848045459%,59.0924995451301%,0.606182614100035,0.619854244632657,0.60246001055921,37007,55847,70081
43,1,ALABAMA,LIMESTONE,8992,14204,23634,38.046881611238%,60.0998561394601%,9468,29067,40294,23.4972948826128%,72.1372909117983%,13672,34640,49235,27.7688636132832%,70.3564537422565%,0.612346956371788,0.754301284546516,0.717006126842192,23196,38535,48312
44,1,ALABAMA,LOWNDES,4557,1638,6243,72.9937530033638%,26.2373858721768%,4883,1751,6684,73.0550568521843%,26.1968880909635%,4972,1836,6835,72.7432333577176%,26.861741038771%,0.264406779661017,0.263943322279168,0.269682726204465,6195,6634,6808
45,1,ALABAMA,MACON,7665,1091,8831,86.7965122862643%,12.3542067716%,7566,1431,9140,82.7789934354486%,15.6564551422319%,7108,1541,8723,81.4857273873667%,17.6659406167603%,0.124600274097762,0.159053017672558,0.178170886807723,8756,8997,8649
46,1,ALABAMA,MADISON,48199,62151,113318,42.534284050195%,54.8465380610318%,62822,89520,163389,38.4493448151344%,54.7894901125535%,87286,102780,194767,44.815600178675%,52.7707465843803%,0.563217036701405,0.587625211694739,0.540759525638462,110350,152342,190066
47,1,ALABAMA,MARENGO,4841,4690,9608,50.3850957535387%,48.8134887593672%,5615,5233,10994,51.0733127160269%,47.5986901946516%,5488,5343,10900,50.348623853211%,49.0183486238532%,0.492078480747036,0.482393067846608,0.493306250577047,9531,10848,10831
48,1,ALABAMA,MARION,4600,6910,11756,39.128955427016%,58.7784960871045%,1432,11274,12984,11.0289587184227%,86.8299445471349%,1463,12205,13807,10.5960744549866%,88.397189831245%,0.600347523892268,0.887297339839446,0.892961662276851,11510,12706,13668
49,1,ALABAMA,MARSHALL,10381,17084,27989,37.0895709028547%,61.0382650326914%,4917,29233,35316,13.9228678219504%,82.7755125155737%,5943,33191,39655,14.9867608120035%,83.6994073887278%,0.622028035681777,0.85601756954612,0.848137169724536,27465,34150,39134
50,1,ALABAMA,MOBILE,58640,78162,139745,41.962145336148%,55.9318759168485%,72186,95116,172737,41.7895413258306%,55.0640569188998%,79474,101243,183164,43.3895306938045%,55.2745080911096%,0.571351296033684,0.568528768335107,0.56022953014935,136802,167302,180717
51,1,ALABAMA,MONROE,3741,5153,8951,41.794212937102%,57.568986705396%,4332,5795,10271,42.1770032129296%,56.4209911401032%,4455,6147,10668,41.7604049493813%,57.6209223847019%,0.5793793568698,0.572232645403377,0.579796264855688,8894,10127,10602
52,1,ALABAMA,MONTGOMERY,40371,38827,80328,50.257693456827%,48.3355741460014%,58916,34003,95878,61.448924675108%,35.4648615949436%,64529,33311,99139,65.0894199053854%,33.6002985706937%,0.490252279097957,0.365942379922298,0.340464022894522,79198,92919,97840
53,1,ALABAMA,MORGAN,16060,25774,42681,37.6279843490078%,60.3875260654624%,11254,37486,50644,22.221783429429%,74.018639917858%,13234,39664,53722,24.634228062991%,73.8319496668032%,0.616101735430511,0.769101354123923,0.749820409089191,41834,48740,52898
54,1,ALABAMA,PERRY,4020,1732,5787,69.4660445826853%,29.9291515465699%,3824,1407,5278,72.4516862447897%,26.657824933687%,3860,1339,5230,73.8049713193117%,25.6022944550669%,0.301112656467316,0.268973427642898,0.25754952875553,5752,5231,5199
55,1,ALABAMA,PICKENS,4143,4306,8540,48.5128805620609%,50.4215456674473%,3972,5456,9542,41.6264933976106%,57.1787885139384%,4022,5594,9668,41.6011584609019%,57.8609846917666%,0.509646111965913,0.578701739499364,0.581738768718802,8449,9428,9616
56,1,ALABAMA,PIKE,4357,6058,10544,41.3220789074355%,57.4544764795144%,5056,7693,13168,38.3961117861482%,58.4219319562576%,5636,8042,13841,40.7196011848855%,58.1027382414565%,0.581661065770523,0.603419876068711,0.587951454891066,10415,12749,13678
57,1,ALABAMA,RANDOLPH,3094,4666,7919,39.0705897209244%,58.921581007703%,2291,7705,10187,22.4894473348385%,75.6356140178659%,2203,8559,10837,20.3285041985789%,78.9794223493587%,0.601288659793814,0.770808323329332,0.795298271696711,7760,9996,10762
58,1,ALABAMA,RUSSELL,8396,6198,14775,56.8257191201354%,41.9492385786802%,9579,9210,19256,49.7455338595762%,47.8292480265891%,11228,9864,21329,52.6419428946505%,46.2468939003235%,0.424695080169933,0.49018042471659,0.467665465579367,14594,18789,21092
59,1,ALABAMA,SHELBY,13183,47651,62128,21.2190960597476%,76.6981071336596%,22977,73020,101254,22.6924368420013%,72.1156695044146%,33268,79700,114950,28.9412788168769%,69.3344932579382%,0.783295525528487,0.760648770274071,0.705509524821188,60834,95997,112968
60,1,ALABAMA,ST. CLAIR,6485,17117,24090,26.9198837691988%,71.0543794105438%,5589,31651,38400,14.5546875%,82.4244791666667%,7744,36166,44441,17.425350464661%,81.3798069350375%,0.725235149563596,0.849919441460795,0.823639262127078,23602,37240,43910
61,1,ALABAMA,SUMTER,4415,1629,6088,72.5197109067017%,26.757555847569%,4746,1581,6411,74.0290126345344%,24.6607393542349%,4648,1598,6291,73.8833253854713%,25.4013670322683%,0.269523494374586,0.249881460407776,0.255843739993596,6044,6327,6246
62,1,ALABAMA,TALLADEGA,11264,13807,25451,44.2575930218852%,54.249341872618%,12121,20614,33407,36.2828149788966%,61.7056305564702%,13138,22235,35663,36.8393012365757%,62.3475310545944%,0.550715966654701,0.629723537498091,0.628586775224041,25071,32735,35373
63,1,ALABAMA,TALLAPOOSA,6183,9805,16253,38.0422075924445%,60.3273241863041%,5519,13594,19486,28.3228984912245%,69.7629067022478%,5859,14963,20991,27.9119622695441%,71.282930779858%,0.613272454340756,0.711243656150264,0.718614926520027,15988,19113,20822
64,1,ALABAMA,TUSCALOOSA,24614,34003,60114,40.9455368133879%,56.5641946967429%,31762,47723,82700,38.4062877871826%,57.7061668681983%,37765,51117,90172,41.8810717295835%,56.6883289712993%,0.580087687872119,0.600402591683965,0.575110821088634,58617,79485,88882
65,1,ALABAMA,WALKER,11621,13486,25641,45.3219453219453%,52.5954525954526%,4497,24266,29472,15.2585504885994%,82.335776330076%,4834,26002,31170,15.5085017645172%,83.4199550850176%,0.537141036364361,0.843653304592706,0.843235179660137,25107,28763,30836
66,1,ALABAMA,WASHINGTON,3386,4117,7596,44.5760926803581%,54.1995787256451%,2374,6042,8533,27.8213992734091%,70.8074534161491%,2258,6564,8876,25.4393871113114%,73.9522307345651%,0.548713847794216,0.71791825095057,0.744048968487871,7503,8416,8822
67,1,ALABAMA,WILCOX,3444,1661,5126,67.186890362856%,32.4034334763949%,4339,1737,6118,70.9218698921216%,28.3916312520432%,4048,1833,5903,68.5753006945621%,31.052007453837%,0.325367286973555,0.285878867676103,0.311681686787961,5105,6076,5881
68,1,ALABAMA,WINSTON,2692,6413,9318,28.8903198111183%,68.8237819274522%,872,9228,10313,8.45534761950936%,89.4792979734316%,974,10195,11284,8.63169088975541%,90.3491669620702%,0.704338275672707,0.913663366336634,0.912794341480885,9105,10100,11169
70,2,ALASKA,DISTRICT 1,1284,4681,6656,19.2908653846154%,70.3275240384616%,2573,3180,6638,38.7616752033745%,47.905995781862%,3477,3511,7314,47.5389663658737%,48.003828274542%,0.784744341994971,0.552755084303841,0.50243274184316,5965,5753,6988
71,2,ALASKA,DISTRICT 10,2194,5673,8884,24.6960828455651%,63.8563710040522%,1808,6255,9040,20%,69.1924778761062%,2727,8081,11205,24.3373493975904%,72.1195894689871%,0.721113512139316,0.775765843978668,0.747686898593634,7867,8063,10808
72,2,ALASKA,DISTRICT 11,2043,3960,6980,29.269340974212%,56.7335243553009%,2142,6444,9689,22.1075446382496%,66.5084116007844%,3130,7096,10628,29.4505080918329%,66.76703048551%,0.659670164917541,0.750524109014675,0.693917465284569,6003,8586,10226
73,2,ALASKA,DISTRICT 12,2051,4626,7601,26.9832916721484%,60.860413103539%,1928,6629,9543,20.2032903699046%,69.4645289741172%,2957,7893,11238,26.3125111229756%,70.2349172450614%,0.692826119514752,0.774687390440575,0.727465437788018,6677,8557,10850
74,2,ALASKA,DISTRICT 13,2661,3853,7943,33.5011960216543%,48.5081203575475%,1684,4028,6533,25.776825348232%,61.6562069493341%,2666,4652,7713,34.5650200959419%,60.3137559963698%,0.591495241019343,0.705182072829132,0.635692812243782,6514,5712,7318
75,2,ALASKA,DISTRICT 14,1626,3750,5868,27.7096114519427%,63.9059304703476%,3043,5978,10420,29.2034548944338%,57.3704414587332%,4261,6714,11443,37.2367386174954%,58.6734248011885%,0.697544642857143,0.662675978272919,0.611753986332574,5376,9021,10975
76,2,ALASKA,DISTRICT 15,2106,2453,5870,35.8773424190801%,41.7887563884157%,1828,2525,4982,36.6920915295062%,50.6824568446407%,2622,2671,5559,47.1667566109012%,48.048210109732%,0.538056591357754,0.580059728922582,0.50462875495938,4559,4353,5293
77,2,ALASKA,DISTRICT 16,1969,1980,4685,42.0277481323372%,42.2625400213447%,3294,3203,7436,44.2980096826251%,43.0742334588488%,4274,3516,8118,52.6484355752648%,43.3111603843311%,0.501392757660167,0.492996767738956,0.451347881899872,3949,6497,7790
78,2,ALASKA,DISTRICT 17,2230,4564,7704,28.9460020768432%,59.2419522326065%,3290,2618,6788,48.4678845020625%,38.5680612846199%,4136,2810,7239,57.1349633927338%,38.8175162315237%,0.671769208124816,0.443127962085308,0.40454938093867,6794,5908,6946
79,2,ALASKA,DISTRICT 18,2739,5421,9882,27.7170613236187%,54.8573163327262%,3909,2684,7402,52.8100513374764%,36.2604701432045%,4681,2760,7720,60.6347150259067%,35.7512953367876%,0.664338235294118,0.407098437736994,0.370917887380728,8160,6593,7441
80,2,ALASKA,DISTRICT 19,2350,4619,7951,29.5560306879638%,58.093321594768%,2669,1636,4792,55.6969949916528%,34.1402337228715%,3118,1975,5301,58.8190907375967%,37.2571212978683%,0.662792366193141,0.380023228803717,0.387787158845474,6969,4305,5093
81,2,ALASKA,DISTRICT 2,2081,4235,7388,28.1672983216026%,57.3226854358419%,1585,3188,5492,28.8601602330663%,58.0480699198835%,2104,3674,6136,34.2894393741851%,59.8761408083442%,0.670519316022799,0.66792373769118,0.635860159224645,6316,4773,5778
82,2,ALASKA,DISTRICT 20,2259,3648,6963,32.4429125376993%,52.3912106850496%,4151,2187,7140,58.1372549019608%,30.6302521008403%,4881,2383,7497,65.1060424169668%,31.7860477524343%,0.617572371762316,0.345061533606816,0.328056167400881,5907,6338,7264
83,2,ALASKA,DISTRICT 21,2309,3263,6629,34.8317996681249%,49.2231105747473%,4224,3479,8647,48.849311900081%,40.2336070313404%,5414,3690,9429,57.4186021847492%,39.1345847916004%,0.585606604450826,0.451642217317928,0.405316344463972,5572,7703,9104
84,2,ALASKA,DISTRICT 22,2656,4910,8525,31.1554252199414%,57.5953079178886%,3270,4203,8372,39.0587673196369%,50.2030578117535%,4553,4684,9520,47.8256302521008%,49.2016806722689%,0.648955855141422,0.562424729024488,0.507091046876692,7566,7473,9237
85,2,ALASKA,DISTRICT 23,1282,2961,4630,27.6889848812095%,63.9524838012959%,2894,3246,6924,41.7966493356441%,46.8804159445407%,3810,3655,7739,49.2311668174183%,47.2283240728776%,0.697855291067641,0.528664495114006,0.489618218352311,4243,6140,7465
86,2,ALASKA,DISTRICT 24,1985,5063,7915,25.0789639924195%,63.9671509791535%,3578,4709,9080,39.4052863436123%,51.8612334801762%,4736,5378,10428,45.4161871883391%,51.5726889144611%,0.718359818388195,0.56823941112586,0.531738184694483,7048,8287,10114
87,2,ALASKA,DISTRICT 25,1697,5489,8201,20.692598463602%,66.930862089989%,3378,3816,8127,41.5651531930602%,46.9545957918051%,4600,4407,9325,49.3297587131367%,47.260053619303%,0.763846367937657,0.530442035029191,0.489286110802709,7186,7194,9007
88,2,ALASKA,DISTRICT 26,1608,5869,8590,18.7194412107101%,68.3236321303842%,3374,4548,8905,37.8888265019652%,51.0724312184166%,4558,5243,10111,45.0796162595193%,51.8544159825932%,0.784940484151398,0.574097450138854,0.534945413733293,7477,7922,9801
89,2,ALASKA,DISTRICT 27,2199,6714,10438,21.0672542632688%,64.3226671776202%,3729,4085,8783,42.457019241717%,46.5103039963566%,4844,4324,9506,50.9572901325479%,45.4870608037029%,0.75328172332548,0.522779626311748,0.471640488656195,8913,7814,9168
90,2,ALASKA,DISTRICT 28,2116,7113,11040,19.1666666666667%,64.429347826087%,4749,5423,11427,41.5594644263586%,47.4577754441236%,6264,6162,12749,49.1332653541454%,48.3332026041258%,0.770722721855022,0.533130161226897,0.49589570255915,9229,10172,12426
91,2,ALASKA,DISTRICT 29,2806,4054,8823,31.803241527825%,45.9480902187465%,2101,6347,9394,22.3653395784543%,67.5644028103045%,2985,7464,10747,27.7751930771378%,69.4519400763004%,0.590962099125364,0.751302083333333,0.714326729830606,6860,8448,10449
92,2,ALASKA,DISTRICT 3,3693,3135,8225,44.8996960486322%,38.1155015197568%,1241,5403,7613,16.3010639695258%,70.9707079994746%,1903,6076,8385,22.6952892069171%,72.4627310673822%,0.459138840070299,0.8132149307646,0.761498934703597,6828,6644,7979
93,2,ALASKA,DISTRICT 30,1698,3622,6083,27.9138582936051%,59.5429886569127%,1816,6194,8950,20.2905027932961%,69.2067039106145%,2638,7180,10176,25.9237421383648%,70.5581761006289%,0.680827067669173,0.773283395755306,0.731309839071094,5320,8010,9818
94,2,ALASKA,DISTRICT 31,1831,3326,5965,30.6957250628667%,55.7585917854149%,3466,5617,10182,34.0404635631507%,55.1659791789432%,5037,6971,12410,40.5882352941176%,56.1724415793715%,0.644948613535001,0.618408014973027,0.580529646902065,5157,9083,12008
95,2,ALASKA,DISTRICT 32,1389,4178,6033,23.0233714569866%,69.2524448864578%,2701,3764,7472,36.1482869379015%,50.3747323340471%,3506,4440,8335,42.0635872825435%,53.2693461307738%,0.750493982396264,0.582211910286156,0.558771709035993,5567,6465,7946
96,2,ALASKA,DISTRICT 33,1765,5804,8712,20.2594123048668%,66.6207529843894%,5978,2732,9934,60.1771693174955%,27.5015099657741%,7535,3059,10955,68.7813783660429%,27.9233226837061%,0.7668119963007,0.313662456946039,0.288748348121578,7569,8710,10594
97,2,ALASKA,DISTRICT 34,1300,5243,7154,18.1716522225328%,73.2876712328767%,4220,3955,9431,44.7460502597816%,41.9361679567384%,5763,4543,10729,53.7142324540964%,42.3431820300121%,0.801314381782057,0.483792048929664,0.44081117795459,6543,8175,10306
98,2,ALASKA,DISTRICT 35,1208,4278,6382,18.9282356628016%,67.03227828267%,3749,4105,9042,41.4620659146207%,45.3992479539925%,5011,4769,10102,49.6040388041972%,47.2084735695902%,0.779803135253372,0.522663610898905,0.487627811860941,5486,7854,9780
99,2,ALASKA,DISTRICT 36,1945,3007,5577,34.8753810292272%,53.9178769948001%,2693,4460,8264,32.5871248789932%,53.9690222652469%,3796,5114,9292,40.8523461041756%,55.0365906155833%,0.607229402261712,0.623514609254858,0.573961840628507,4952,7153,8910
100,2,ALASKA,DISTRICT 37,1821,2725,5028,36.2171837708831%,54.1964996022275%,2421,1938,5062,47.8269458711972%,38.2852627419992%,2560,2358,5142,49.7860754570206%,45.8576429404901%,0.599428068631764,0.444597384721266,0.479463196421309,4546,4359,4918
101,2,ALASKA,DISTRICT 38,2015,2467,4976,40.4943729903537%,49.5779742765273%,2758,1143,5095,54.1315014720314%,22.4337585868499%,3202,1737,5299,60.426495565201%,32.7797697678807%,0.550423917893797,0.293001794411689,0.351690625632719,4482,3901,4939
102,2,ALASKA,DISTRICT 39,2282,2321,5188,43.9861218195837%,44.7378565921357%,3142,1405,5639,55.7190991310516%,24.9157652065969%,3580,1939,5891,60.7706671193346%,32.9146155151927%,0.504236367586357,0.308994941719815,0.351331763000544,4603,4547,5519
103,2,ALASKA,DISTRICT 4,2715,4127,7823,34.7053560015339%,52.7546976863096%,4162,4070,9521,43.7138955992018%,42.7476105451108%,5345,4690,10511,50.8514889163733%,44.6199219864903%,0.603186202864659,0.4944120505345,0.467364225211759,6842,8232,10035
104,2,ALASKA,DISTRICT 40,1024,1831,3226,31.7420954742715%,56.7575945443273%,2338,1377,4610,50.7158351409978%,29.8698481561822%,2318,1994,4603,50.3584618726917%,43.3195741907452%,0.641330998248687,0.370659488559892,0.462430426716141,2855,3715,4312
105,2,ALASKA,DISTRICT 5,1931,3545,6437,29.9984464812801%,55.0722386204754%,3187,3683,7906,40.3111560839868%,46.5848722489249%,4204,4077,8654,48.5786919343656%,47.1111624682228%,0.647370343316289,0.536098981077147,0.492331843980196,5476,6870,8281
106,2,ALASKA,DISTRICT 6,1542,3862,6100,25.2786885245902%,63.3114754098361%,2536,4929,8460,29.9763593380615%,58.2624113475177%,3272,5770,9460,34.5877378435518%,60.9936575052854%,0.714655810510733,0.660281312793034,0.638133156381332,5404,7465,9042
